,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comments,ComplianceStatus,Outlier,ZipCode,Latitude,Longitude,Address,PropertyGFATotal_calc,BuildingAge,MeanGFAperFloor,ParkingGFARatio,Certified,CertifiedPreviousYear,NbYearsCertified,SteamUse(ratio),Electricity(ratio),NaturalGas(ratio),OtherFuelUse(ratio),SteamUse(bins),Electricity(bins),NaturalGas(bins),OtherFuelUse(bins),EnergyProfile,MainEnergy,ExtsurfVolRatio,SiteEnergyUseWN(kBtu)_log,TotalGHGEmissions_log
2869,21783,2016,NonResidential,Warehouse,(ID21783) 601 SOUTH ALASKA,2024049004,2,GREATER DUWAMISH,1989,1.0,1.0,21101,0,21101,"('Non-Refrigerated Warehouse', ' Office')",Non-Refrigerated Warehouse,18373.0,Office,2728.0,None,0.0,(),,32.0,38.79999924,50.59999847,57.79999924,675773.0,819493.125,0.0,50327.10156,171716.0,5040.569824,504057.0,0.0,27.97,1.33,False,,Compliant,,98108.0,47.56067,-122.32646000000001,601 S ALASKA ST,21101.0,27,10550.5,0.0,False,False,0,0.0,0.2541030789925019,0.745896921007498,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.15005357899564759,13.616441287869087,3.3311325072138684
2871,21784,2016,NonResidential,Refrigerated Warehouse,SUN FOOD TRADING CO,2024049006,2,GREATER DUWAMISH,1914,1.0,2.0,45594,0,45594,"('Refrigerated Warehouse',)",Refrigerated Warehouse,45594.0,None,0.0,None,0.0,(),75.0,29.60000038,29.20000076,93.09999847,91.5,1351268.0,1329148.25,0.0,396033.9063,1351268.0,0.0,0.0,0.0,9.42,0.21,False,,Compliant,,98108.0,47.56067,-122.32705,4715 6TH AVE S,45594.0,102,15198.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.10652049300327367,14.100048881511762,2.2428350885882717
2873,21785,2015,NonResidential,Other,AM BUILDING,2024049009,2,GREATER DUWAMISH,1950,1.0,1.0,26660,0,26660,"('Manufacturing/Industrial Plant',)",Manufacturing/Industrial Plant,26660.0,None,0.0,None,0.0,(),,84.7,84.7,265.8,265.8,2257274.0,2257181.0,0.0,661542.0,2257274.0,0.0,0.0,0.0,15.74,0.23,False,,Compliant,,98108,47.55014531,-122.3303438,5907 4TH AVE S,26660.0,65,13330.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.1457564582015756,14.629627247533277,2.756205242989257
2874,21786,2016,NonResidential,Warehouse,(ID21786) 615 S ALASKA,2024049035,2,GREATER DUWAMISH,1975,1.0,1.0,28126,0,28126,"('Non-Refrigerated Warehouse', ' Office')",Non-Refrigerated Warehouse,21780.0,Office,6346.0,None,0.0,(),44.0,31.0,34.40000153,77.0,82.30000305,870626.0,966168.625,0.0,175372.0938,598370.0,2722.560059,272256.0,0.0,18.63,0.66,False,,Compliant,,98108.0,47.560559999999995,-122.32593,615 S ALASKA ST,28126.0,41,14063.0,0.0,False,False,0,0.0,0.6872870784929465,0.31271292150705354,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.14484147317402285,13.781093658002233,2.924773184613497
2877,21787,2015,NonResidential,Non-Refrigerated Warehouse,NWCP BLDG OC,2024049036,2,GREATER DUWAMISH,1964,1.0,1.0,35000,0,35000,"('Non-Refrigerated Warehouse',)",Non-Refrigerated Warehouse,35000.0,None,0.0,None,0.0,(),49.0,11.4,11.4,35.9,35.9,400070.0,400054.0,0.0,117249.0,400070.0,0.0,0.0,0.0,2.79,0.03,False,,Compliant,,98108,47.54809189,-122.32540894,6020 6TH AVE S,35000.0,51,17500.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.1413482689518493,12.89935481697844,1.0260415958332743
2879,21792,2016,NonResidential,Warehouse,OTM 162,2024049059,2,GREATER DUWAMISH,1962,1.0,1.0,26150,0,26150,"('Non-Refrigerated Warehouse',)",Non-Refrigerated Warehouse,26150.0,None,0.0,None,0.0,(),6.0,46.20000076,50.59999847,113.6999969,117.09999850000001,1208408.0,1322416.75,0.0,239011.5938,815508.0,3929.0,392900.0,0.0,26.55,1.02,False,,Compliant,,98108.0,47.549479999999996,-122.32536,5964 6TH AVE. S,26150.0,54,13075.0,0.0,False,False,0,0.0,0.6748614706291253,0.32513852937087473,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.1460926686668412,14.09497149177292,3.279029747687948
2881,21793,2016,NonResidential,Small- and Mid-Sized Office,5950 6TH AVENUE S. BUILDING,2024049068,2,GREATER DUWAMISH,1967,1.0,2.0,24000,0,24000,"('Office',)",Office,24000.0,None,0.0,None,0.0,(),73.0,45.40000153,47.90000153,142.3999939,150.3000031,1088556.0,1148448.75,0.0,319037.5,1088556.0,0.0,0.0,0.0,7.59,0.32,False,,Compliant,,98108.0,47.54974,-122.3261,5950 6TH AVENUE S.,24000.0,49,8000.0,0.0,False,False,0,0.0,1.0,0.0,0.0,(s),E,(n),(o),(s)E(n)(o),Electricity,0.11879543362406986,13.95392267669378,2.0268315914075385
2882,21794,2015,NonResidential,K-12 School,SEATTLE PREP - PEYTON,2025049007,3,EAST,1968,1.0,5.0,40809,0,40809,"('K-12 School',)",K-12 School,40809.0,None,0.0,None,0.0,(),34.0,68.2,77.2,147.8,157.2,2785120.0,3150445.0,0.0,435965.0,1487573.0,12975.0,1297547.0,0.0,79.28,1.79,False,,Compliant,,98102,47.64171214,-122.3173859,2400 11TH AVE E,40809.0,47,6801.5,0.0,False,False,0,0.0,0.5341145085310507,0.46588549146894925,0.0,(s),e,n,(o),(s)en(o),Electricity,0.08553881287870735,14.963054270665442,4.372985890021733
2885,21795,2016,NonResidential,Other,IGNATIUS HALL,2025049007,3,EAST,1999,1.0,2.0,85750,65640,20110,"('K-12 School', ' Parking')",Parking,65000.0,K-12 School,20000.0,None,0.0,(),,102.3000031,113.90000149999999,177.3000031,191.6999969,2045592.0,2278550.5,0.0,196193.7031,669413.0,13761.79004,1376179.0,0.0,77.76,0.91,False,,Compliant,,98102.0,47.64132,-122.31643999999999,2400 11TH AVE EAST,85000.0,17,6703.333333333333,0.7654810495626823,False,False,0,0.0,0.32724658680714436,0.6727534131928556,0.0,(s),(e),N,(o),(s)(e)N(o),NaturalGas,0.09773346468009765,14.639050053144654,4.353627160152183
2886,21796,2015,NonResidential,K-12 School,SEATTLE PREP - ADELPHIA,2025049007,3,EAST,1905,1.0,1.0,83882,0,83882,"('K-12 School',)",K-12 School,83882.0,None,0.0,None,0.0,(),72.0,30.3,34.3,69.6,73.8,2539627.0,2876720.0,0.0,444200.0,1515673.0,10240.0,1023954.0,0.0,64.95,0.7,False,,Compliant,,98102,47.64171214,-122.3173859,2400 11TH AVE E,83882.0,110,41941.0,0.0,False,False,0,0.0,0.5968092952232749,0.4031907047767251,0.0,(s),e,n,(o),(s)en(o),Electricity,0.130642836102951,14.872161314196463,4.173617743116608
